youtube_id,youtube_url,title,beat_file,parsed_file,measure_count,duration_sec,duration_min,time_signatures,primary_time_signature,time_signature_count,has_meter_change,contains_non_44,contains_odd_meter,contains_uncommon_meter,annotation_event_count,annotation_label_count,annotation_labels
MmZexg8sxyk,https://www.youtube.com/watch?v=MmZexg8sxyk,Electric Feel,Electric Feel_MmZexg8sxyk.beat,Electric Feel_MmZexg8sxyk.beat.beats.json,65,224.8543,3.75,6/4|4/4,6/4,2,true,true,false,true,0,0,
6VOu-Zq1L1M,https://www.youtube.com/watch?v=6VOu-Zq1L1M,Enough Space,Enough Space_6VOu-Zq1L1M.beat,Enough Space_6VOu-Zq1L1M.beat.beats.json,65,155.8333,2.60,6/4|4/4,6/4,2,true,true,false,true,0,0,
2R-_Hsurm7Y,https://www.youtube.com/watch?v=2R-_Hsurm7Y,Estimated Prophet,Estimated Prophet_2R-_Hsurm7Y.beat,Estimated Prophet_2R-_Hsurm7Y.beat.beats.json,104,341.2500,5.69,7/4,7/4,1,false,true,true,true,1,1,swing
xikjLdQyQoo,https://www.youtube.com/watch?v=xikjLdQyQoo,Ethiopia,Ethiopia_xikjLdQyQoo.beat,Ethiopia_xikjLdQyQoo.beat.beats.json,99,220.4082,3.67,7/8|4/4,7/8,2,true,true,true,true,1,1,fermata
yiQI2x7RKYM,https://www.youtube.com/watch?v=yiQI2x7RKYM,Face Dances Pt. 2,Face Dances Pt. 2_yiQI2x7RKYM.beat,Face Dances Pt. 2_yiQI2x7RKYM.beat.beats.json,89,200.7692,3.35,5/4|4/4,5/4,2,true,true,true,true,0,0,
6rzlYpq8m6w,https://www.youtube.com/watch?v=6rzlYpq8m6w,Fermata in Rapsodia,Fermata in Rapsodia_6rzlYpq8m6w.beat,Fermata in Rapsodia_6rzlYpq8m6w.beat.beats.json,192,308.5714,5.14,6/8,6/8,1,false,true,false,false,0,0,
71hpfvWoOm8,https://www.youtube.com/watch?v=71hpfvWoOm8,Gear Getaway,Gear Getaway_71hpfvWoOm8.beat,Gear Getaway_71hpfvWoOm8.beat.beats.json,78,94.2056,1.57,5/4|4/4,4/4,2,true,true,true,true,1,1,swing
ZUSDXFdJycM,https://www.youtube.com/watch?v=ZUSDXFdJycM,Gear Getaway,Gear Getaway_ZUSDXFdJycM.beat,Gear Getaway_ZUSDXFdJycM.beat.beats.json,159,192.8972,3.21,5/4|4/4|6/4,4/4,3,true,true,true,true,1,1,swing
7-QWLqli-E4,https://www.youtube.com/watch?v=7-QWLqli-E4,Glass of Water,Glass of Water_7-QWLqli-E4.beat,Glass of Water_7-QWLqli-E4.beat.beats.json,141,267.1788,4.45,4/4|7/4,4/4,2,true,true,true,true,1,1,fermata
W1npnBn46gY,https://www.youtube.com/watch?v=W1npnBn46gY,"Good Morning, Polar Night","Good Morning, Polar Night_W1npnBn46gY.beat","Good Morning, Polar Night_W1npnBn46gY.beat.beats.json",212,295.4622,4.92,5/4|4/4|6/4|3/4,6/4,4,true,true,true,true,1,1,fermata
D09Okc11afI,https://www.youtube.com/watch?v=D09Okc11afI,Haggstrom,Haggstrom_D09Okc11afI.beat,Haggstrom_D09Okc11afI.beat.beats.json,54,198.2143,3.30,7/4|2/4|4/4,7/4,3,true,true,true,true,0,0,
kqSlCCufDR4,https://www.youtube.com/watch?v=kqSlCCufDR4,I Am The Doctor,I Am The Doctor_kqSlCCufDR4.beat,I Am The Doctor_kqSlCCufDR4.beat.beats.json,128,240.7059,4.01,7/4|4/4|3/4,4/4,3,true,true,true,true,0,0,
WnwmOfmZbb0,https://www.youtube.com/watch?v=WnwmOfmZbb0,I Hung My Head,I Hung My Head_WnwmOfmZbb0.beat,I Hung My Head_WnwmOfmZbb0.beat.beats.json,103,278.1000,4.64,9/8,9/8,1,false,true,true,true,0,0,
jqfnQhXAFcQ,https://www.youtube.com/watch?v=jqfnQhXAFcQ,JellyBelly,JellyBelly_jqfnQhXAFcQ.beat,JellyBelly_jqfnQhXAFcQ.beat.beats.json,93,219.4630,3.66,7/4|6/4|4/4|2/4,7/4,4,true,true,true,true,0,0,
8mSIX8G_0Mk,https://www.youtube.com/watch?v=8mSIX8G_0Mk,Living in the Past,Living in the Past_8mSIX8G_0Mk.beat,Living in the Past_8mSIX8G_0Mk.beat.beats.json,100,199.0747,3.32,5/4,5/4,1,false,true,true,true,0,0,
RwcltlWjqgo,https://www.youtube.com/watch?v=RwcltlWjqgo,Love Is Stronger Than Justice,Love Is Stronger Than Justice_RwcltlWjqgo.beat,Love Is Stronger Than Justice_RwcltlWjqgo.beat.beats.json,133,249.4545,4.16,2/4|7/4|4/4,4/4,3,true,true,true,true,0,0,
C9cbN9Pxes0,https://www.youtube.com/watch?v=C9cbN9Pxes0,Maybe The Next Waltz,Maybe The Next Waltz_C9cbN9Pxes0.beat,Maybe The Next Waltz_C9cbN9Pxes0.beat.beats.json,265,265.0000,4.42,3/4,3/4,1,false,true,false,false,1,1,swing
0T7ZiqchFLk,https://www.youtube.com/watch?v=0T7ZiqchFLk,Meteor Stream,Meteor Stream_0T7ZiqchFLk.beat,Meteor Stream_0T7ZiqchFLk.beat.beats.json,144,340.1250,5.67,7/4|6/4|4/4,6/4,3,true,true,true,true,0,0,
r2CRLDMqeSI,https://www.youtube.com/watch?v=r2CRLDMqeSI,Mother Brain Final Boss Theme,Mother Brain Final Boss Theme_r2CRLDMqeSI.beat,Mother Brain Final Boss Theme_r2CRLDMqeSI.beat.beats.json,30,71.5909,1.19,7/8,7/8,1,false,true,true,true,0,0,
ipHTH6AZ4ZI,https://www.youtube.com/watch?v=ipHTH6AZ4ZI,Nocturnal,Nocturnal_ipHTH6AZ4ZI.beat,Nocturnal_ipHTH6AZ4ZI.beat.beats.json,190,395.8333,6.60,5/4,5/4,1,false,true,true,true,0,0,
MyJzv4AFZXc,https://www.youtube.com/watch?v=MyJzv4AFZXc,One More Night,One More Night_MyJzv4AFZXc.beat,One More Night_MyJzv4AFZXc.beat.beats.json,224,333.6171,5.56,7/8,7/8,1,false,true,true,true,0,0,
vP_IgKTrq2U,https://www.youtube.com/watch?v=vP_IgKTrq2U,Palette,Palette_vP_IgKTrq2U.beat,Palette_vP_IgKTrq2U.beat.beats.json,115,224.0000,3.73,6/4|5/4,6/4,2,true,true,true,true,0,0,
jDPu3PQtzUk,https://www.youtube.com/watch?v=jDPu3PQtzUk,Pick up Sticks,Pick up Sticks_jDPu3PQtzUk.beat,Pick up Sticks_jDPu3PQtzUk.beat.beats.json,97,256.7647,4.28,6/4,6/4,1,false,true,false,true,1,1,swing
xgFL1sSIsSU,https://www.youtube.com/watch?v=xgFL1sSIsSU,Saint Augustine In Hell,Saint Augustine In Hell_xgFL1sSIsSU.beat,Saint Augustine In Hell_xgFL1sSIsSU.beat.beats.json,125,305.7143,5.10,7/8|3/4,7/8,2,true,true,true,true,0,0,
hID1Wt1ByEQ,https://www.youtube.com/watch?v=hID1Wt1ByEQ,Same Blue,Same Blue_hID1Wt1ByEQ.beat,Same Blue_hID1Wt1ByEQ.beat.beats.json,128,231.8478,3.86,5/4|6/4,6/4,2,true,true,true,true,0,0,
80RtBeB61LE,https://www.youtube.com/watch?v=80RtBeB61LE,Schism,Schism_80RtBeB61LE.beat,Schism_80RtBeB61LE.beat.beats.json,219,401.4313,6.69,5/4|4/4|5/8|7/8|8/8|6/8|6/4|4/8|9/8,6/8,9,true,true,true,true,0,0,
pG7_gceIFL4,https://www.youtube.com/watch?v=pG7_gceIFL4,Seven Days,Seven Days_pG7_gceIFL4.beat,Seven Days_pG7_gceIFL4.beat.beats.json,169,275.5434,4.59,5/8,5/8,1,false,true,true,true,0,0,
EH6br1oX4mU,https://www.youtube.com/watch?v=EH6br1oX4mU,Smiling Crescent,Smiling Crescent_EH6br1oX4mU.beat,Smiling Crescent_EH6br1oX4mU.beat.beats.json,143,245.1429,4.09,6/8,6/8,1,false,true,false,false,0,0,
6vewnczwW_0,https://www.youtube.com/watch?v=6vewnczwW_0,Soggy's,Soggy's_6vewnczwW_0.beat,Soggy's_6vewnczwW_0.beat.beats.json,146,369.8243,6.16,9/8,9/8,1,false,true,true,true,0,0,
NNMR5MCpYGU,https://www.youtube.com/watch?v=NNMR5MCpYGU,Solsbury Hill,Solsbury Hill_NNMR5MCpYGU.beat,Solsbury Hill_NNMR5MCpYGU.beat.beats.json,66,261.1764,4.35,7/4|4/4,7/4,2,true,true,true,true,0,0,
zfZ7ul2OGY4,https://www.youtube.com/watch?v=zfZ7ul2OGY4,Special Wonderful Smile,Special Wonderful Smile_zfZ7ul2OGY4.beat,Special Wonderful Smile_zfZ7ul2OGY4.beat.beats.json,229,303.0882,5.05,3/4,3/4,1,false,true,false,false,9,9,rit|a_tempo|rubato|fermata
HE-Kd_0vvdk,https://www.youtube.com/watch?v=HE-Kd_0vvdk,TAKE FIVE,TAKE FIVE_HE-Kd_0vvdk.beat,TAKE FIVE_HE-Kd_0vvdk.beat.beats.json,103,183.9286,3.07,5/4,5/4,1,false,true,true,true,1,1,swing
ryA6eHZNnXY,https://www.youtube.com/watch?v=ryA6eHZNnXY,Take Five,Take Five_ryA6eHZNnXY.beat,Take Five_ryA6eHZNnXY.beat.beats.json,183,322.9412,5.38,5/4,5/4,1,false,true,true,true,1,1,swing
4ulgVOBpNWA,https://www.youtube.com/watch?v=4ulgVOBpNWA,The Sound Of Muzak,The Sound Of Muzak_4ulgVOBpNWA.beat,The Sound Of Muzak_4ulgVOBpNWA.beat.beats.json,91,294.3158,4.91,7/4|4/4,4/4,2,true,true,true,true,0,0,
Zi1qmFUSRu0,https://www.youtube.com/watch?v=Zi1qmFUSRu0,The girl who can’t see colors,The girl who can’t see colors_Zi1qmFUSRu0.beat,The girl who can’t see colors_Zi1qmFUSRu0.beat.beats.json,195,275.9184,4.60,3/4|4/4|5/4,3/4,3,true,true,true,true,2,2,fermata|a_tempo
lbdEzRfbeH4,https://www.youtube.com/watch?v=lbdEzRfbeH4,Unsquare Dance,Unsquare Dance_lbdEzRfbeH4.beat,Unsquare Dance_lbdEzRfbeH4.beat.beats.json,66,125.4546,2.09,7/4|6/4,7/4,2,true,true,true,true,1,1,swing
Gk-NiBl1rNI,https://www.youtube.com/watch?v=Gk-NiBl1rNI,VERY BERRY LOVE,VERY BERRY LOVE_Gk-NiBl1rNI.beat,VERY BERRY LOVE_Gk-NiBl1rNI.beat.beats.json,248,234.9474,3.92,3/4,3/4,1,false,true,false,false,2,2,swing|rit
ylynqd-l1nc,https://www.youtube.com/watch?v=ylynqd-l1nc,Winslow Gardens,Winslow Gardens_ylynqd-l1nc.beat,Winslow Gardens_ylynqd-l1nc.beat.beats.json,66,198.7200,3.31,7/4|4/4|3/4|6/4|5/4,7/4,5,true,true,true,true,1,1,fermata
bGqOrl5h9IM,https://www.youtube.com/watch?v=bGqOrl5h9IM,あの日の景色を探して,あの日の景色を探して_bGqOrl5h9IM.beat,あの日の景色を探して_bGqOrl5h9IM.beat.beats.json,28,88.5000,1.48,9/8|4/4,4/4,2,true,true,true,true,0,0,
y00KXEGT8Vo,https://www.youtube.com/watch?v=y00KXEGT8Vo,その声が地図になる,その声が地図になる_y00KXEGT8Vo.beat,その声が地図になる_y00KXEGT8Vo.beat.beats.json,128,217.6398,3.63,4/4|5/4|6/4|2/4,4/4,4,true,true,true,true,0,0,
CMxAbK-itk8,https://www.youtube.com/watch?v=CMxAbK-itk8,ばらばらになった星たち,ばらばらになった星たち_CMxAbK-itk8.beat,ばらばらになった星たち_CMxAbK-itk8.beat.beats.json,133,237.3750,3.96,5/4|4/4,5/4,2,true,true,true,true,0,0,
fhTFysCtF6g,https://www.youtube.com/watch?v=fhTFysCtF6g,アポリア,アポリア_fhTFysCtF6g.beat,アポリア_fhTFysCtF6g.beat.beats.json,111,223.5653,3.73,7/8|8/8|2/8,8/8,3,true,true,true,true,0,0,
yrwUa-3ELcU,https://www.youtube.com/watch?v=yrwUa-3ELcU,エデンの揺り籃,エデンの揺り籃_yrwUa-3ELcU.beat,エデンの揺り籃_yrwUa-3ELcU.beat.beats.json,100,188.6638,3.14,5/4,5/4,1,false,true,true,true,0,0,
SgMH5dcgd84,https://www.youtube.com/watch?v=SgMH5dcgd84,エピソードラブ,エピソードラブ_SgMH5dcgd84.beat,エピソードラブ_SgMH5dcgd84.beat.beats.json,224,252.0000,4.20,3/4,3/4,1,false,true,false,false,3,3,rit|fermata|a_tempo
_QqEOE8GnDs,https://www.youtube.com/watch?v=_QqEOE8GnDs,オリジナル声になって,オリジナル声になって__QqEOE8GnDs.beat,オリジナル声になって__QqEOE8GnDs.beat.beats.json,135,173.5714,2.89,3/4,3/4,1,false,true,false,false,1,1,fermata
KG2HP0osNRk,https://www.youtube.com/watch?v=KG2HP0osNRk,オーロラプリンセス,オーロラプリンセス_KG2HP0osNRk.beat,オーロラプリンセス_KG2HP0osNRk.beat.beats.json,204,333.8182,5.56,3/4,3/4,1,false,true,false,false,1,1,fermata
GC2anXRztnA,https://www.youtube.com/watch?v=GC2anXRztnA,カラカラ,カラカラ_GC2anXRztnA.beat,カラカラ_GC2anXRztnA.beat.beats.json,205,261.7895,4.36,5/4|6/4|4/4|2/4,4/4,4,true,true,true,true,0,0,
zHUq_olCVnQ,https://www.youtube.com/watch?v=zHUq_olCVnQ,コバルトブルーを叩き潰したような笑みで,コバルトブルーを叩き潰したような笑みで_zHUq_olCVnQ.beat,コバルトブルーを叩き潰したような笑みで_zHUq_olCVnQ.beat.beats.json,151,160.6364,2.68,5/4|3/4|4/4,3/4,3,true,true,true,true,0,0,
4a6oeXjh8-E,https://www.youtube.com/watch?v=4a6oeXjh8-E,コントラスト,コントラスト_4a6oeXjh8-E.beat,コントラスト_4a6oeXjh8-E.beat.beats.json,135,209.6104,3.49,5/8|2/8|6/8|4/4|7/8|8/8|9/8,5/8,7,true,true,true,true,0,0,
B21-ufeNrvc,https://www.youtube.com/watch?v=B21-ufeNrvc,サトリサトラレサウンド,サトリサトラレサウンド_B21-ufeNrvc.beat,サトリサトラレサウンド_B21-ufeNrvc.beat.beats.json,166,273.8710,4.56,5/4|6/4,5/4,2,true,true,true,true,2,2,swing|fermata
rBvAz3890-Y,https://www.youtube.com/watch?v=rBvAz3890-Y,タイトル,タイトル_rBvAz3890-Y.beat,タイトル_rBvAz3890-Y.beat.beats.json,79,177.7500,2.96,9/8,9/8,1,false,true,true,true,0,0,
iBhyy2F-lx8,https://www.youtube.com/watch?v=iBhyy2F-lx8,トレフル・ド・ノエル,トレフル・ド・ノエル_iBhyy2F-lx8.beat,トレフル・ド・ノエル_iBhyy2F-lx8.beat.beats.json,184,258.7500,4.31,6/8,6/8,1,false,true,false,false,0,0,
WBMR5UsFhHc,https://www.youtube.com/watch?v=WBMR5UsFhHc,ナナヒツジ,ナナヒツジ_WBMR5UsFhHc.beat,ナナヒツジ_WBMR5UsFhHc.beat.beats.json,126,205.2632,3.42,7/4|8/4|4/4|2/4,4/4,4,true,true,true,true,0,0,
z9c9RtTLVP8,https://www.youtube.com/watch?v=z9c9RtTLVP8,ハートウォーミング,ハートウォーミング_z9c9RtTLVP8.beat,ハートウォーミング_z9c9RtTLVP8.beat.beats.json,193,225.4633,3.76,3/4,3/4,1,false,true,false,false,1,1,rit
IKUlZj9Jb74,https://www.youtube.com/watch?v=IKUlZj9Jb74,バトルの秘儀,バトルの秘儀_IKUlZj9Jb74.beat,バトルの秘儀_IKUlZj9Jb74.beat.beats.json,167,254.7414,4.25,7/8|5/8|6/8|8/8,6/8,4,true,true,true,true,0,0,
TqHAyhGFmWA,https://www.youtube.com/watch?v=TqHAyhGFmWA,パーフェクト・フィナーレ,パーフェクト・フィナーレ_TqHAyhGFmWA.beat,パーフェクト・フィナーレ_TqHAyhGFmWA.beat.beats.json,223,262.7586,4.38,3/4|5/4|8/4|7/4|6/4|4/4|2/4,4/4,7,true,true,true,true,0,0,
k5-Wuuw5D00,https://www.youtube.com/watch?v=k5-Wuuw5D00,フシギトラベラー,フシギトラベラー_k5-Wuuw5D00.beat,フシギトラベラー_k5-Wuuw5D00.beat.beats.json,169,240.3448,4.01,4/4|7/4,4/4,2,true,true,true,true,0,0,
5G370jqP9Vs,https://www.youtube.com/watch?v=5G370jqP9Vs,フラワードロップ,フラワードロップ_5G370jqP9Vs.beat,フラワードロップ_5G370jqP9Vs.beat.beats.json,117,254.1176,4.24,7/4|4/4|6/4|5/4,6/4,4,true,true,true,true,0,0,
fFE7Xg3yEW0,https://www.youtube.com/watch?v=fFE7Xg3yEW0,ミュータント,ミュータント_fFE7Xg3yEW0.beat,ミュータント_fFE7Xg3yEW0.beat.beats.json,142,284.4339,4.74,7/8|4/4|6/8,7/8,3,true,true,true,true,1,1,fermata
g5HQFrSk4OA,https://www.youtube.com/watch?v=g5HQFrSk4OA,モンダイナイトリッパー！,モンダイナイトリッパー！_g5HQFrSk4OA.beat,モンダイナイトリッパー！_g5HQFrSk4OA.beat.beats.json,145,195.5000,3.26,2/4|7/4|3/4|4/4,4/4,4,true,true,true,true,1,1,fermata
uyZeP7sUC7w,https://www.youtube.com/watch?v=uyZeP7sUC7w,モンドの夕暮れ,モンドの夕暮れ_uyZeP7sUC7w.beat,モンドの夕暮れ_uyZeP7sUC7w.beat.beats.json,56,104.5160,1.74,7/8|6/4,7/8,2,true,true,true,true,0,0,
nKqUxQlaihw,https://www.youtube.com/watch?v=nKqUxQlaihw,九月の夜の鯨,九月の夜の鯨_nKqUxQlaihw.beat,九月の夜の鯨_nKqUxQlaihw.beat.beats.json,108,171.0000,2.85,5/4|6/4,5/4,2,true,true,true,true,0,0,
8vt9Vq7XrNI,https://www.youtube.com/watch?v=8vt9Vq7XrNI,予測できない！,予測できない！_8vt9Vq7XrNI.beat,予測できない！_8vt9Vq7XrNI.beat.beats.json,40,90.0000,1.50,5/4|7/4,5/4,2,true,true,true,true,0,0,
POGdK5Oe0Q0,https://www.youtube.com/watch?v=POGdK5Oe0Q0,健康指南,健康指南_POGdK5Oe0Q0.beat,健康指南_POGdK5Oe0Q0.beat.beats.json,19,53.2000,0.89,7/4,7/4,1,false,true,true,true,0,0,
cvBpbhzeOMA,https://www.youtube.com/watch?v=cvBpbhzeOMA,初恋 〜一章 片想いの桜〜,初恋 〜一章 片想いの桜〜_cvBpbhzeOMA.beat,初恋 〜一章 片想いの桜〜_cvBpbhzeOMA.beat.beats.json,150,364.8648,6.08,6/8,6/8,1,false,true,false,false,2,2,fermata|a_tempo
_zPohw6dLa4,https://www.youtube.com/watch?v=_zPohw6dLa4,右回りWonderland,右回りWonderland__zPohw6dLa4.beat,右回りWonderland__zPohw6dLa4.beat.beats.json,246,310.5000,5.17,3/4|4/4|5/4|2/4,3/4,4,true,true,true,true,1,1,swing
mpY1UYNqFZM,https://www.youtube.com/watch?v=mpY1UYNqFZM,啓蟄、嬰の足,啓蟄、嬰の足_mpY1UYNqFZM.beat,啓蟄、嬰の足_mpY1UYNqFZM.beat.beats.json,80,151.8000,2.53,7/4|4/4,7/4,2,true,true,true,true,0,0,
FIrw0v3t2-I,https://www.youtube.com/watch?v=FIrw0v3t2-I,境界 ,境界 _FIrw0v3t2-I.beat,境界 _FIrw0v3t2-I.beat.beats.json,131,213.3333,3.56,5/4|4/4|6/4|2/4,4/4,4,true,true,true,true,0,0,
NFjaQvcjy5k,https://www.youtube.com/watch?v=NFjaQvcjy5k,夕焼けといっしょに,夕焼けといっしょに_NFjaQvcjy5k.beat,夕焼けといっしょに_NFjaQvcjy5k.beat.beats.json,164,277.8000,4.63,6/4|5/4,6/4,2,true,true,true,true,1,1,rit
y3Yl6AbMq5c,https://www.youtube.com/watch?v=y3Yl6AbMq5c,夢路の花,夢路の花_y3Yl6AbMq5c.beat,夢路の花_y3Yl6AbMq5c.beat.beats.json,103,176.5714,2.94,3/4,3/4,1,false,true,false,false,4,4,rubato|fermata|a_tempo
fdtVgT8-83k,https://www.youtube.com/watch?v=fdtVgT8-83k,天かける星,天かける星_fdtVgT8-83k.beat,天かける星_fdtVgT8-83k.beat.beats.json,161,221.1818,3.69,5/8|6/8,5/8,2,true,true,true,true,0,0,
dMzLkz79uc4,https://www.youtube.com/watch?v=dMzLkz79uc4,幼気な思いつき,幼気な思いつき_dMzLkz79uc4.beat,幼気な思いつき_dMzLkz79uc4.beat.beats.json,42,74.4706,1.24,5/4|6/4,5/4,2,true,true,true,true,0,0,
z4k9fPvw_LQ,https://www.youtube.com/watch?v=z4k9fPvw_LQ,幾望の月,幾望の月_z4k9fPvw_LQ.beat,幾望の月_z4k9fPvw_LQ.beat.beats.json,175,289.1304,4.82,5/8|6/8|4/4|7/4|6/4,4/4,5,true,true,true,true,0,0,
n6DOICG9l54,https://www.youtube.com/watch?v=n6DOICG9l54,悠々たる歳月,悠々たる歳月_n6DOICG9l54.beat,悠々たる歳月_n6DOICG9l54.beat.beats.json,47,91.0715,1.52,5/4|6/4,5/4,2,true,true,true,true,3,3,fermata|a_tempo|rit
HUTJGMGwvKw,https://www.youtube.com/watch?v=HUTJGMGwvKw,手のひらの光,手のひらの光_HUTJGMGwvKw.beat,手のひらの光_HUTJGMGwvKw.beat.beats.json,107,224.8149,3.75,5/8|6/8,6/8,2,true,true,true,true,1,1,rit
9ydC2pUQpNQ,https://www.youtube.com/watch?v=9ydC2pUQpNQ,旅の途中,旅の途中_9ydC2pUQpNQ.beat,旅の途中_9ydC2pUQpNQ.beat.beats.json,137,286.7442,4.78,6/8,6/8,1,false,true,false,false,0,0,
aCCnW6Ie6VI,https://www.youtube.com/watch?v=aCCnW6Ie6VI,星詠みの祈り唄,星詠みの祈り唄_aCCnW6Ie6VI.beat,星詠みの祈り唄_aCCnW6Ie6VI.beat.beats.json,137,299.6341,4.99,6/8|3/8,6/8,2,true,true,false,true,0,0,
fF937IOZEzU,https://www.youtube.com/watch?v=fF937IOZEzU,木陰漫歩,木陰漫歩_fF937IOZEzU.beat,木陰漫歩_fF937IOZEzU.beat.beats.json,46,78.6586,1.31,5/8|4/8,5/8,2,true,true,true,true,1,1,fermata
CwAi_R-tCAo,https://www.youtube.com/watch?v=CwAi_R-tCAo,歯車の王国,歯車の王国_CwAi_R-tCAo.beat,歯車の王国_CwAi_R-tCAo.beat.beats.json,60,130.2985,2.17,5/4|6/4|4/4|3/4|7/4,5/4,5,true,true,true,true,0,0,
63a7SoiOwFo,https://www.youtube.com/watch?v=63a7SoiOwFo,水辺を流離う,水辺を流離う_63a7SoiOwFo.beat,水辺を流離う_63a7SoiOwFo.beat.beats.json,45,73.3695,1.22,5/8,5/8,1,false,true,true,true,0,0,
8DqUfTY_CPU,https://www.youtube.com/watch?v=8DqUfTY_CPU,波砕きの舞い,波砕きの舞い_8DqUfTY_CPU.beat,波砕きの舞い_8DqUfTY_CPU.beat.beats.json,186,243.8710,4.06,5/4|6/4|3/4,3/4,3,true,true,true,true,0,0,
-5bLLwkaWxs,https://www.youtube.com/watch?v=-5bLLwkaWxs,流星都市,流星都市_-5bLLwkaWxs.beat,流星都市_-5bLLwkaWxs.beat.beats.json,120,207.0796,3.45,6/8|4/4,6/8,2,true,true,false,false,0,0,
fQws-F-KPdY,https://www.youtube.com/watch?v=fQws-F-KPdY,海辺のふたり,海辺のふたり_fQws-F-KPdY.beat,海辺のふたり_fQws-F-KPdY.beat.beats.json,125,303.6735,5.06,4/4|7/8,4/4,2,true,true,true,true,0,0,
_03m3TIXAcc,https://www.youtube.com/watch?v=_03m3TIXAcc,深海の孤独,深海の孤独__03m3TIXAcc.beat,深海の孤独__03m3TIXAcc.beat.beats.json,95,225.0000,3.75,6/8,6/8,1,false,true,false,false,2,2,fermata
gImMtCX-gKc,https://www.youtube.com/watch?v=gImMtCX-gKc,渦巻に踊れ,渦巻に踊れ_gImMtCX-gKc.beat,渦巻に踊れ_gImMtCX-gKc.beat.beats.json,133,175.7522,2.93,5/4|3/4|4/4|6/4|7/4|9/4,5/4,6,true,true,true,true,0,0,
g7ylEzzQKzg,https://www.youtube.com/watch?v=g7ylEzzQKzg,満天に嘶く,満天に嘶く_g7ylEzzQKzg.beat,満天に嘶く_g7ylEzzQKzg.beat.beats.json,240,446.6129,7.44,8/8|5/8|7/8,8/8,3,true,true,true,true,0,0,
s4TjgyfH5uo,https://www.youtube.com/watch?v=s4TjgyfH5uo,灰色のサーガ,灰色のサーガ_s4TjgyfH5uo.beat,灰色のサーガ_s4TjgyfH5uo.beat.beats.json,111,206.0869,3.43,5/8|6/8|3/8,6/8,3,true,true,true,true,0,0,
